"category_name","Name","Link","Pieces","Set","year"
"Town","Motor Boat","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1632-1",28," Town: Classic Town: Harbor","1990"
"Town","Loader Tractor","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1633-1",19," Town: Classic Town: Construction","1990"
"Town","Maersk Line Container Truck","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1651-2",302," Town: Classic Town: Cargo","1980"
"Town","Evacuation Team","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1656-1",222," Town: Classic Town: Fire","1991"
"Town","Dual FX Racers","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1665-1",82," Town: Classic Town: Race","1990"
"Town","Space Shuttle","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1682-1",384," Town: Classic Town: Airport","1990"
"Town","Midnight Transport","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1687-1",245," Town: Classic Town: Airport","1993"
"Town","Helicopter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1690-1",27," Town: Classic Town: Airport","1990"
"Town","Loader Tractor","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1692-1",19," Town: Classic Town: Construction","1990"
"Town","Turbo Force","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1693-1",22," Town: Classic Town: Race","1992"
"Town","Fire Fighter 4 x 4","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1702-1",55," Town: Classic Town: Fire","1994"
"Town","Snowmobile polybag","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1710-1",20," Town: Classic Town: Off-Road","1994"
"Town","Snow Scooter","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1730-1",20," Town: Classic Town: Off-Road","1994"
"Town","{Kayak}","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1740-1",10," Town: Classic Town: Recreation","1994"
"Town","{ATV}","https://www.bricklink.com/v2/catalog/catalogitem.page?S=1741-1",31," Town: Classic Town: Recreation","1994"
