"name","year","category_name","link","pieces","set","price_link","times_sold","total_qty","min_price","avg_price","qty_avg_price","max_price"
"Super Star Destroyer - UCS",2011,"Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10221-1",3124," Star Wars: Ultimate Collector Series: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=10221-1&ColorID=0","35","37",434.164705882353,849.458823529412,838.788235294118,1418.23529411765
"Imperial Star Destroyer - UCS {1st edition}",2002,"Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10030-1",3106," Star Wars: Ultimate Collector Series: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=10030-1&ColorID=0","6","6",366.623529411765,912.623529411765,912.623529411765,1414.31764705882
"Mos Eisley Cantina",2014,"Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75290-1",3090," Star Wars: Master Builder Series: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=75290-1&ColorID=0","270","330",136.376470588235,345.447058823529,342.482352941176,458.682352941176
"Betrayal at Cloud City",2018,"Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75222-1",2732," Star Wars: Master Builder Series: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=75222-1&ColorID=0","25","27",193.211764705882,695.541176470588,658.329411764706,1042.2
"Imperial Shuttle - UCS",2010,"Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10212-1",2482," Star Wars: Ultimate Collector Series: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=10212-1&ColorID=0","26","27",385.929411764706,811.423529411765,795.658823529412,1332.18823529412
"R2-D2 - UCS",2012,"Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10225-1",2123," Star Wars: Ultimate Collector Series: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=10225-1&ColorID=0","8","8",135.305882352941,195.658823529412,195.658823529412,249.823529411765
"Assault on Hoth - UCS",2016,"Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75098-1",2067," Star Wars: Ultimate Collector Series: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=75098-1&ColorID=0","16","16",155.835294117647,468.141176470588,468.141176470588,644.858823529412
"Slave I - UCS",2015,"Star Wars","https://www.bricklink.com/v2/catalog/catalogitem.page?S=75060-1",1984," Star Wars: Ultimate Collector Series: Star Wars Episode 4/5/6","http://www.bricklink.com/catalogPG.asp?S=75060-1&ColorID=0","63","63",138.070588235294,385.188235294118,385.188235294118,543.364705882353
"The Tower of Orthanc",2013,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10237-1",2335," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=10237-1&ColorID=0","29","29",206.907407407407,832.861111111111,832.861111111111,1211.22222222222
"The Battle of Helm's Deep",2012,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9474-1",1332," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9474-1&ColorID=0","20","20",185.175925925926,465.240740740741,465.240740740741,629.759259259259
"The Lonely Mountain",2014,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79018-1",846," The Hobbit and The Lord of the Rings: The Hobbit: The Battle of the Five Armies","http://www.bricklink.com/catalogPG.asp?S=79018-1&ColorID=0","26","33",383.472222222222,595.666666666667,591.361111111111,761.935185185185
"The Goblin King Battle",2012,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79010-1",799," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79010-1&ColorID=0","27","32",70.3703703703704,225.212962962963,225.472222222222,336.712962962963
"Dol Guldur Battle",2013,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79014-1",763," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79014-1&ColorID=0","19","19",100.787037037037,244.527777777778,244.527777777778,387.435185185185
"The Mines of Moria",2012,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9473-1",730," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9473-1&ColorID=0","16","17",257.074074074074,291.851851851852,291.148148148148,343.509259259259
"Pirate Ship Ambush",2013,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79008-1",717," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=79008-1&ColorID=0","43","44",83.3240740740741,334.305555555556,333.75,442.472222222222
"Battle at the Black Gate",2013,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79007-1",634," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=79007-1&ColorID=0","19","21",106.37037037037,322.166666666667,303.944444444444,393.518518518518
"An Unexpected Gathering",2012,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79003-1",623," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79003-1&ColorID=0","28","29",94.4444444444444,262.462962962963,261.296296296296,356.435185185185
"Lake-town Chase",2013,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79013-1",448," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79013-1&ColorID=0","14","15",152.777777777778,196.055555555556,195.333333333333,296.296296296296
"The Battle of Five Armies",2014,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79017-1",446," The Hobbit and The Lord of the Rings: The Hobbit: The Battle of the Five Armies","http://www.bricklink.com/catalogPG.asp?S=79017-1&ColorID=0","19","20",172.268518518519,264.685185185185,263.018518518518,402.111111111111
"Attack on Weathertop",2012,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9472-1",406," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9472-1&ColorID=0","20","21",25.9259259259259,209.222222222222,200.5,362.425925925926
"Attack of the Wargs",2012,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79002-1",378," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79002-1&ColorID=0","21","22",36.1111111111111,143.87962962963,144.259259259259,191.083333333333
"The Orc Forge",2012,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=9476-1",347," The Hobbit and The Lord of the Rings: The Lord of the Rings","http://www.bricklink.com/catalogPG.asp?S=9476-1&ColorID=0","21","21",180.916666666667,210.796296296296,210.796296296296,310.277777777778
"Barrel Escape",2012,"The Hobbit and The Lord of the Rings","https://www.bricklink.com/v2/catalog/catalogitem.page?S=79004-1",313," The Hobbit and The Lord of the Rings: The Hobbit","http://www.bricklink.com/catalogPG.asp?S=79004-1&ColorID=0","10","11",37.0277777777778,127.472222222222,132.722222222222,257.37037037037
"Town Plan",2008,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=10184-1",1948," Town: Town Plan","http://www.bricklink.com/catalogPG.asp?S=10184-1&ColorID=0","1","1",351.030181086519,351.030181086519,351.030181086519,351.030181086519
"City Square",2015,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=60097-1",1623," Town: City: Traffic","http://www.bricklink.com/catalogPG.asp?S=60097-1&ColorID=0","18","18",63.0442655935614,169.959758551308,169.959758551308,200.277665995976
"Main Square",2020,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=60271-1",1455," Town: City: Building","http://www.bricklink.com/catalogPG.asp?S=60271-1&ColorID=0","9","10",83.5553319919517,131.832997987928,129.505030181087,171.394366197183
"Volcano Heavy-lift Helicopter",2016,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=60125-1",1238," Town: City: Volcano Explorers","http://www.bricklink.com/catalogPG.asp?S=60125-1&ColorID=0","4","4",148.022132796781,172.404426559356,172.404426559356,200.27967806841
"Jungle Air Drop Helicopter",2017,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=60162-1",1221," Town: City: Jungle","http://www.bricklink.com/catalogPG.asp?S=60162-1&ColorID=0","1","1",256.985915492958,256.985915492958,256.985915492958,256.985915492958
"Harbor",2011,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=60422-1",1190," Town: City: Harbor","http://www.bricklink.com/catalogPG.asp?S=60422-1&ColorID=0","8","8",67.2816901408451,83.0965794768612,83.0965794768612,95.4024144869215
"Capital City",2018,"Town","https://www.bricklink.com/v2/catalog/catalogitem.page?S=60200-1",1158," Town: City: Building","http://www.bricklink.com/catalogPG.asp?S=60200-1&ColorID=0","7","7",118.424547283702,174.686116700201,174.686116700201,198.38430583501
